experiment_id,cell_id,seed,game,channel,spec,pair,n_rounds,open_rule,open_msg_len,open_coop,late_coop,late_lockin,late_K
A1,A1/L0_none/canonical/same_origin_cn,0,ipd,L0_none,canonical,qwen-72b+deepseek-v3,8,0,0.0,0.75,0.625,0.0,
A1,A1/L0_none/canonical/same_origin_cn,1,ipd,L0_none,canonical,deepseek-v3+qwen-72b,8,0,0.0,0.25,0.875,1.0,
A1,A1/L0_none/canonical/same_origin_cn,2,ipd,L0_none,canonical,qwen-72b+deepseek-v3,8,0,0.0,1.0,0.75,0.0,
A1,A1/L0_none/canonical/same_origin_cn,100,ipd,L0_none,canonical,qwen-72b+deepseek-v3,20,0,0.0,0.5,0.0,0.0,
A1,A1/L0_none/canonical/same_origin_cn,101,ipd,L0_none,canonical,deepseek-v3+qwen-72b,12,0,0.0,0.8333333333333334,0.9166666666666666,1.0,
A1,A1/L0_none/canonical/same_origin_cn,102,ipd,L0_none,canonical,qwen-72b+deepseek-v3,20,0,0.0,1.0,0.1,0.0,
A1,A1/L0_none/canonical/same_origin_cn,104,ipd,L0_none,canonical,qwen-72b+deepseek-v3,20,0,0.0,0.5,0.25,0.0,
A1,A1/L0_none/canonical/same_origin_cn,105,ipd,L0_none,canonical,deepseek-v3+qwen-72b,20,0,0.0,1.0,0.25,0.0,
A1,A1/L0_none/canonical/same_origin_cn,106,ipd,L0_none,canonical,qwen-72b+deepseek-v3,10,0,0.0,0.5,0.1,0.0,
A1,A1/L0_none/canonical/same_origin_cn,108,ipd,L0_none,canonical,qwen-72b+deepseek-v3,17,0,0.0,0.8333333333333334,0.0625,0.0,
A1,A1/L0_none/canonical/same_origin_cn,109,ipd,L0_none,canonical,deepseek-v3+qwen-72b,20,0,0.0,0.5,0.2,0.0,
A1,A1/L0_none/canonical/same_origin_cn,110,ipd,L0_none,canonical,qwen-72b+deepseek-v3,20,0,0.0,0.3333333333333333,0.0,0.0,
A1,A1/L0_none/canonical/same_origin_cn,111,ipd,L0_none,canonical,deepseek-v3+qwen-72b,20,0,0.0,0.5,0.15,0.0,
A1,A1/L0_none/canonical/same_origin_cn,112,ipd,L0_none,canonical,qwen-72b+deepseek-v3,20,0,0.0,0.3333333333333333,0.05,0.0,
A1,A1/L0_none/canonical/same_origin_cn,113,ipd,L0_none,canonical,deepseek-v3+qwen-72b,20,0,0.0,1.0,0.7,0.0,
A1,A1/L0_none/canonical/same_origin_cn,114,ipd,L0_none,canonical,qwen-72b+deepseek-v3,7,0,0.0,0.5,0.0,0.0,
A1,A1/L0_none/canonical/same_origin_cn,115,ipd,L0_none,canonical,deepseek-v3+qwen-72b,7,0,0.0,0.5,0.3333333333333333,0.0,
A1,A1/L0_none/canonical/same_origin_cn,116,ipd,L0_none,canonical,qwen-72b+deepseek-v3,20,0,0.0,0.5,0.1,0.0,
A1,A1/L0_none/canonical/same_origin_cn,117,ipd,L0_none,canonical,deepseek-v3+qwen-72b,12,0,0.0,1.0,0.4166666666666667,0.0,
A1,A1/L0_none/canonical/same_origin_cn,118,ipd,L0_none,canonical,qwen-72b+deepseek-v3,20,0,0.0,0.6666666666666666,0.6,0.0,
